code,year,color,id,name
PHL,1996,"rgb(16,32,207)",'608,The Philippines
POL,1996,"rgb(9,219,26)",'616,Poland
PRT,1996,"rgb(6,204,46)",'620,Portugal
PRY,1996,"rgb(0,57,198)",'600,Paraguay
PYF,1996,"rgb(22,39,194)",'258,French polynesia
ROU,1996,"rgb(12,206,37)",'642,Romania
RUS,1996,"rgb(56,120,78)",'643,Russian Federation
RWA,1996,"rgb(25,171,59)",'646,Rwanda
SAU,1996,"rgb(13,39,204)",'682,Saudi Arabia
SCG,1996,"rgb(17,194,44)",NA,NA
SDN,1996,"rgb(80,64,112)",'729,Sudan
SEN,1996,"rgb(52,112,91)",'686,Senegal
SGP,1996,"rgb(33,36,186)",'702,Singapore
SLB,1996,"rgb(145,23,88)",'090,Solomon Islands
SLV,1996,"rgb(1,43,211)",'222,El Salvador
SUR,1996,"rgb(2,3,250)",'740,Suriname
SVK,1996,"rgb(6,230,19)",'703,Slovakia
SVN,1996,"rgb(3,224,28)",'705,Slovenia
SWE,1996,"rgb(13,163,79)",'752,Sweden
SYC,1996,"rgb(2,24,229)",'690,Seychelles
TGO,1996,"rgb(40,102,113)",'768,Togo
THA,1996,"rgb(35,48,173)",'764,Thailand
TTO,1996,"rgb(4,14,238)",'780,Trinidad & Tobago
TUN,1996,"rgb(9,203,44)",'788,Tunisia
TUR,1996,"rgb(9,178,69)",'792,Turkey
TZA,1996,"rgb(63,89,102)",'834,Tanzania
UGA,1996,"rgb(37,146,72)",'800,Uganda
UKR,1996,"rgb(68,114,74)",'804,Ukraine
URY,1996,"rgb(46,54,154)",'858,Uruguay
VCT,1996,"rgb(0,2,253)",'670,St. Vincent & the Grenadines
VEN,1996,"rgb(0,12,243)",'862,Venezuela
ZAF,1996,"rgb(16,115,123)",'710,South Africa
ZMB,1996,"rgb(12,79,164)",'894,Zambia
ALB,1997,"rgb(4,230,21)",'008,Albania
AND,1997,"rgb(28,112,115)",'020,Andorra
ARG,1997,"rgb(39,45,172)",'032,Argentina
ARM,1997,"rgb(4,53,198)",'051,Armenia
AUS,1997,"rgb(56,39,160)",'036,Australia
AUT,1997,"rgb(6,223,26)",'040,Austria
AZE,1997,"rgb(26,149,80)",'031,Azerbaijan
BDI,1997,"rgb(26,202,28)",'108,Burundi
BEL,1997,"rgb(10,184,61)",'056,Belgium
BFA,1997,"rgb(23,113,118)",'854,Burkina
BGD,1997,"rgb(52,49,154)",'050,Bangladesh
BGR,1997,"rgb(13,186,56)",'100,Bulgaria
BHS,1997,"rgb(0,2,253)",'044,The Bahamas
BLZ,1997,"rgb(2,2,251)",'084,Belize
BMU,1997,"rgb(0,2,252)",'060,Bermuda
BOL,1997,"rgb(3,35,217)",'068,Bolivia
BRA,1997,"rgb(18,58,180)",'076,Brazil
BRB,1997,"rgb(6,10,239)",'052,Barbados
BRN,1997,"rgb(29,75,152)",'096,Brunei
CAF,1997,"rgb(13,174,67)",'140,Central African Republic
CAN,1997,"rgb(5,5,245)",'124,Canada
CHE,1997,"rgb(8,182,65)",'756,Switzerland
CHL,1997,"rgb(29,43,183)",'152,Chile
CIV,1997,"rgb(24,95,137)",'384,C?te d'Ivoire
CMR,1997,"rgb(55,93,107)",'120,Cameroon
COL,1997,"rgb(4,33,218)",'170,Colombia
COM,1997,"rgb(12,155,88)",'174,The Comoros
CPV,1997,"rgb(7,68,180)",'132,Cape Verde
CRI,1997,"rgb(3,17,234)",'188,Costa Rica
CYP,1997,"rgb(15,64,176)",'196,Cyprus
CZE,1997,"rgb(10,219,26)",'203,Czech Republic
DMA,1997,"rgb(5,7,243)",'212,Dominica
DNK,1997,"rgb(18,192,45)",'208,Denmark
DOM,1997,"rgb(0,3,252)",'214,Dominican Republic
DZA,1997,"rgb(11,49,195)",'012,Algeria
ECU,1997,"rgb(7,30,218)",'218,Ecuador
EGY,1997,"rgb(20,92,142)",'818,Egypt
ESP,1997,"rgb(18,172,66)",'724,Spain
EST,1997,"rgb(8,182,66)",'233,Estonia
ETH,1997,"rgb(37,137,81)",'231,Ethiopia
FIN,1997,"rgb(21,149,85)",'246,Finland
FRA,1997,"rgb(18,161,76)",'250,France
FRO,1997,"rgb(14,181,60)",'234,Faroe Islands
GAB,1997,"rgb(21,6,228)",'266,Gabon
GBR,1997,"rgb(9,121,125)",'826,Great Britain (United Kingdom; England)
GEO,1997,"rgb(5,96,154)",'268,Georgia
GHA,1997,"rgb(18,119,118)",'288,Ghana
GIN,1997,"rgb(18,34,204)",'324,Guinea
GMB,1997,"rgb(58,119,77)",'270,Gambia
GRC,1997,"rgb(17,192,46)",'300,Greece
GRD,1997,"rgb(4,11,240)",'308,Grenada
GRL,1997,"rgb(22,78,156)",'304,Greenland
