import_index,export_index,unknown1,lnXniXnn,lnX'niX'nn,dist1,dist2,dist3,dist4,dist5,dist6,border,r_and_d,human_capital,unknown2,labor,wage,common_language,both_in_EU,both_in_EFTA,distance
15,1,90,-7.05,-6.06,0,0,0,0,0,1,0,2.56,0.291,-3.88,0.605,0.991,0,0,0,11.2
15,2,90,-5.1,-5.03,0,0,1,0,0,0,0,2.24,0.273,-0.156,-0.19,1.13,0,0,0,1.43
15,3,90,-3.52,-6.64,0,0,1,0,0,0,0,3.11,0.361,1.1,-0.065,1.4,0,1,0,1.06
15,4,90,-5.77,-5.51,0,0,0,0,1,0,0,3.8,0.426,-3.7,1.09,1.35,0,0,0,3.36
15,5,90,-5.14,-5.77,0,0,0,1,0,0,0,2.02,0.058,0.109,-0.438,1.26,0,1,0,1.54
15,6,90,-5.06,-4.46,0,0,0,1,0,0,0,2.06,0.507,-1.98,-0.548,1.5,0,0,0,2.09
15,7,90,-2.42,-1.72,0,0,1,0,0,0,0,5.11,0.381,-0.034,1.77,1.4,0,1,0,0.902
15,8,90,-2.14,-1.21,0,0,1,0,0,0,0,5.52,0.46,0.862,1.94,1.45,0,1,0,1.44
15,9,90,-7.42,-7.5,0,0,0,1,0,0,0,-0.336,0.253,-0.336,-0.137,0.567,0,1,0,1.77
15,10,90,-2.53,-1.42,0,0,1,0,0,0,0,4.19,0.337,0.58,1.66,1.18,0,1,0,1.16
15,11,90,-4.1,-2.35,0,0,0,0,0,1,0,5.92,0.373,1.13,2.87,1.23,0,0,0,6.94
15,12,90,-3.31,-5.41,0,0,1,0,0,0,0,3.72,0.373,1.22,0.341,1.39,0,1,0,1.16
15,13,90,-7.49,-7.17,0,0,0,0,0,1,0,0.357,0.352,-2.15,-1.07,0.746,0,0,0,12.2
15,14,90,-4.98,-5.11,0,0,0,1,0,0,0,2.13,0.349,-2.1,-0.719,1.47,0,0,0,1.7
15,15,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15,16,90,-2.21,-1.25,1,0,0,0,0,0,1,2.52,0.397,-0.33,1.16,0.908,0,1,0,0.311
15,17,90,-4.45,-4.19,0,0,0,1,0,0,0,3.42,0.391,-1.73,0.003,1.44,0,0,0,1.86
15,18,90,-2.77,-2.17,0,0,1,0,0,0,0,5.36,0.265,0.781,1.86,1.17,0,1,0,0.985
15,19,90,-3.89,-2.47,0,0,0,0,1,0,0,7.3,0.618,-1.39,3.32,1.48,0,0,0,4.01
16,1,90,-8.12,-8.08,0,0,0,0,0,1,0,0.045,-0.107,-3.55,-0.556,0.083,0,0,0,10.9
16,2,90,-5.49,-6.37,0,0,1,0,0,0,0,-0.276,-0.124,0.174,-1.35,0.219,0,0,0,1.13
16,3,90,-4.53,-8.6,0,0,1,0,0,0,0,0.59,-0.037,1.43,-1.23,0.488,0,1,0,0.817
16,4,90,-6.9,-7.59,0,0,0,0,1,0,0,1.28,0.028,-3.37,-0.067,0.442,0,0,0,3.54
16,5,90,-5.98,-7.57,0,0,1,0,0,0,0,-0.496,-0.339,0.438,-1.6,0.355,0,1,0,1.29
16,6,90,-5.94,-6.29,0,0,0,1,0,0,0,-0.459,0.11,-1.65,-1.71,0.593,0,0,0,1.83
16,7,90,-2.96,-3.22,0,1,0,0,0,0,1,2.59,-0.017,0.296,0.607,0.493,0,1,0,0.652
16,8,90,-2.79,-2.81,0,0,1,0,0,0,0,3,0.063,1.19,0.775,0.542,0,1,0,1.16
16,9,90,-7.63,-8.67,0,0,1,0,0,0,0,-2.86,-0.144,-0.006,-1.3,-0.341,0,1,0,1.48
16,10,90,-3.31,-3.15,0,0,1,0,0,0,0,1.67,-0.061,0.91,0.501,0.273,0,1,0,0.856
16,11,90,-4.37,-3.57,0,0,0,0,0,1,0,3.4,-0.024,1.46,1.71,0.323,0,0,0,6.7
16,12,90,-4.48,-7.54,0,0,1,0,0,0,0,1.2,-0.024,1.55,-0.82,0.478,0,1,0,0.918
16,13,90,-8.57,-9.2,0,0,0,0,0,1,0,-2.16,-0.045,-1.82,-2.23,-0.162,0,0,0,12.3
16,14,90,-6.6,-7.69,0,0,1,0,0,0,0,-0.388,-0.049,-1.77,-1.88,0.566,0,0,0,1.48
16,15,90,-4.75,-5.7,1,0,0,0,0,0,1,-2.52,-0.397,0.33,-1.16,-0.908,0,1,0,0.311
16,16,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16,17,90,-5.04,-5.74,0,0,0,1,0,0,0,0.905,-0.006,-1.4,-1.16,0.528,0,0,0,1.61
16,18,90,-3.54,-3.9,0,0,1,0,0,0,0,2.84,-0.132,1.11,0.695,0.263,0,1,0,0.783
16,19,90,-3.73,-3.27,0,0,0,0,1,0,0,4.79,0.22,-1.06,2.16,0.574,0,0,0,4.19
17,1,90,-7.24,-6.51,0,0,0,0,0,1,0,-0.86,-0.1,-2.15,0.602,-0.446,0,0,0,9.7
17,2,90,-4.66,-4.85,0,0,1,0,0,0,0,-1.18,-0.118,1.57,-0.194,-0.31,0,0,1,0.775
17,3,90,-3.97,-7.35,0,0,1,0,0,0,0,-0.314,-0.031,2.83,-0.068,-0.04,0,0,0,0.798
17,4,90,-5.64,-5.64,0,0,0,0,1,0,0,0.372,0.035,-1.97,1.09,-0.086,0,0,0,3.73
17,5,90,-3.09,-3.99,1,0,0,0,0,0,0,-1.4,-0.333,1.84,-0.441,-0.174,0,0,0,0.327
17,6,90,-3.13,-2.79,1,0,0,0,0,0,0,-1.36,0.116,-0.251,-0.552,0.065,0,0,1,0.246
17,7,90,-3.46,-3.02,0,0,1,0,0,0,0,1.68,-0.01,1.7,1.76,-0.036,0,0,0,0.963
17,8,90,-2.08,-1.42,0,1,0,0,0,0,0,2.1,0.069,2.59,1.93,0.014,0,0,0,0.508
17,9,90,-6.54,-6.88,0,0,1,0,0,0,0,-3.76,-0.138,1.39,-0.141,-0.87,0,0,0,1.5
17,10,90,-3.63,-2.78,0,0,1,0,0,0,0,0.769,-0.054,2.31,1.66,-0.256,0,0,0,1.23
17,11,90,-3.59,-2.1,0,0,0,0,1,0,0,2.49,-0.018,2.86,2.87,-0.206,0,0,0,5.09
17,12,90,-3.82,-6.19,0,1,0,0,0,0,0,0.299,-0.018,2.95,0.337,-0.05,0,0,0,0.703
17,13,90,-8.47,-8.4,0,0,0,0,0,1,0,-3.07,-0.039,-0.42,-1.07,-0.691,0,0,0,10.8
17,14,90,-3.13,-3.53,1,0,0,0,0,0,1,-1.29,-0.042,-0.373,-0.722,0.037,0,0,1,0.259
17,15,90,-4.77,-5.03,0,0,0,1,0,0,0,-3.42,-0.391,1.73,-0.003,-1.44,0,0,0,1.86
17,16,90,-5.04,-4.35,0,0,0,1,0,0,0,-0.905,0.006,1.4,1.16,-0.528,0,0,0,1.61
17,17,90,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
17,18,90,-2.9,-2.55,0,0,1,0,0,0,0,1.93,-0.126,2.51,1.85,-0.266,0,0,0,0.892
17,19,90,-3.1,-1.94,0,0,0,0,1,0,0,3.88,0.226,0.341,3.32,0.045,0,0,0,4.29
18,1,90,-6.08,-5.7,0,0,0,0,0,1,0,-2.79,0.026,-4.66,-1.25,-0.18,1,0,0,10.769
18,2,90,-5.51,-6.04,0,0,1,0,0,0,0,-3.11,0.008,-0.937,-2.05,-0.044,0,0,0,0.769
18,3,90,-3.74,-7.46,1,0,0,0,0,0,0,-2.25,0.095,0.316,-1.92,0.225,0,1,0,0.199
18,4,90,-5.12,-5.46,0,0,0,0,1,0,0,-1.56,0.161,-4.48,-0.761,0.179,1,0,0,3.34
18,5,90,-4.79,-6.03,0,1,0,0,0,0,0,-3.33,-0.207,-0.673,-2.29,0.092,0,1,0,0.592
18,6,90,-5,-5,0,0,1,0,0,0,0,-3.29,0.242,-2.76,-2.4,0.331,0,0,0,1.13
18,7,90,-3.09,-2.99,1,0,0,0,0,0,0,-0.25,0.115,-0.815,-0.087,0.23,0,1,0,0.213
18,8,90,-2.51,-2.18,0,1,0,0,0,0,0,0.168,0.195,0.08,0.08,0.279,0,1,0,0.577
18,9,90,-6.81,-7.5,0,0,1,0,0,0,0,-5.69,-0.012,-1.12,-1.99,-0.604,0,1,0,1.49
